Berlin1		4.321.521		3.336.026		3.274.016		3.208.719		3.048.759		3.433.695		3.382.169		3.460.725		3.520.031		891,68		3.948		1,45		1747		Berlin Berlin
27		Braunschweig		189.628		223.760		242.489		223.275		261.141		258.833		245.816		248.867		251.364		192,17		1.308		1,15		1890		Niedersachsen Niedersachsen
28		Chemnitz6		334.713		293.373		286.329		299.411		317.644		294.244		259.246		243.248		248.645		220,86		1.126		2,10		1883		Sachsen Sachsen
29		Kiel		261.298		254.449		271.610		271.070		250.062		245.567		232.612		239.526		246.306		118,65		2.076		1,30		1900		Schleswig-Holstein Schleswig-Holstein
30		Aachen1		159.631		129.811		170.367		175.451		243.947		241.861		244.386		258.664		245.885		160,85		1.529		1,05		1888		Nordrhein-Westfalen Nordrhein-Westfalen
31		Halle (Saale)8		217.480		289.119		277.855		257.261		232.294		310.234		247.736		232.963		236.991		135,02		1.755		1,94		1890		Sachsen-Anhalt Sachsen-Anhalt
32		Magdeburg		329.824		260.305		261.594		272.237		289.032		278.807		231.450		231.549		235.723		201,00		1.173		1,47		1882		Sachsen-Anhalt Sachsen-Anhalt
33		Freiburg im Breisgau1		108.487		109.717		141.637		163.568		175.106		191.029		205.102		224.191		226.393		153,06		1.479		1,89		1934		Baden-Württemberg Baden-Württemberg
34		Krefeld7		170.205		171.875		211.479		222.666		223.969		244.020		239.916		235.076		225.144		137,78		1.634		1,19		1888		Nordrhein-Westfalen Nordrhein-Westfalen
35		Lübeck		149.502		238.276		232.140		239.955		220.588		214.758		213.399		210.232		216.253		214,21		1.010		0,85		1912		Schleswig-Holstein Schleswig-Holstein
36		Oberhausen1		191.829		202.808		258.626		246.199		228.947		223.840		222.151		212.945		210.934		77,10		2.736		0,78		1914		Nordrhein-Westfalen Nordrhein-Westfalen
37		Erfurt		159.201		188.650		186.448		195.994		211.575		208.989		200.564		204.994		210.118		269,88		779		1,89		1906		Thüringen Thüringen
38		Mainz1		154.033		88.369		133.089		174.858		187.392		179.486		182.870		199.237		209.779		97,74		2.146		1,35		1908		Rheinland-Pfalz Rheinland-Pfalz
39		Rostock1		118.048		133.109		158.630		198.636		232.506		248.088		200.506		202.735		206.011		181,26		1.137		0,90		1935		Mecklenburg-Vorpommern Mecklenburg-Vorpommern
40		Kassel1		211.624		162.132		206.354		214.785		195.912		194.268		194.766		195.530		197.984		106,78		1.854		1,66		1899		Hessen Hessen
41		Hagen		151.481		146.401		195.500		201.042		218.927		214.449		203.151		188.526		189.044		160,45		1.178		1,25		1928		Nordrhein-Westfalen Nordrhein-Westfalen
42		Hamm		56.684		59.866		68.775		84.629		171.869		179.639		182.427		181.783		179.397		226,43		792		1,60		1975		Nordrhein-Westfalen Nordrhein-Westfalen
43		Saarbrücken1		131.285		111.450		129.801		128.251		193.554		191.694		183.257		175.741		178.151		167,09		1.066		0,69		1909		Saarland Saarland
44		Mülheim an der Ruhr		136.828		149.589		183.979		192.183		181.279		177.681		172.862		167.344		169.278		91,28		1.854		1,30		1908		Nordrhein-Westfalen Nordrhein-Westfalen
45		Potsdam		126.241		118.180		115.004		111.336		130.900		139.794		129.324		156.906		167.745		188,25		891		2,26		1939		Brandenburg Brandenburg
46		Ludwigshafen am Rhein1		143.934		123.869		164.657		176.257		159.399		162.233		163.383		164.177		164.718		77,55		2.124		0,54		1921		Rheinland-Pfalz Rheinland-Pfalz
47		Oldenburg (Oldb)		74.141		122.809		122.337		131.545		136.764		143.131		154.832		162.173		163.830		102,99		1.591		1,82		1946		Niedersachsen Niedersachsen
48		Leverkusen		49.927		65.531		93.940		107.626		160.825		160.919		161.047		160.772		163.487		78,87		2.073		1,21		1963		Nordrhein-Westfalen Nordrhein-Westfalen
49		Osnabrück1		97.918		109.538		135.821		144.864		157.367		163.168		164.101		164.119		162.403		119,79		1.356		3,51		1939		Niedersachsen Niedersachsen
50		Solingen		140.453		147.845		170.619		177.124		166.085		165.401		164.973		159.927		158.726		89,54		1.773		1,25		1929		Nordrhein-Westfalen Nordrhein-Westfalen
51		Heidelberg		84.273		116.488		127.595		121.398		133.227		136.796		140.259		147.312		156.267		108,83		1.436		1,00		1946		Baden-Württemberg Baden-Württemberg
52		Herne1		94.639		111.591		113.252		103.849		182.542		178.132		174.529		164.762		155.851		51,42		3.031		0,80		1933		Nordrhein-Westfalen Nordrhein-Westfalen
53		Neuss		59.649		63.478		93.680		116.013		149.334		147.019		150.013		151.388		155.414		99,52		1.562		1,81		1963		Nordrhein-Westfalen Nordrhein-Westfalen
54		Darmstadt1		110.552		94.788		138.736		141.847		138.201		138.920		138.242		144.402		155.353		122,09		1.272		2,29		1937		Hessen Hessen
55		Paderborn		39.955		40.270		52.773		68.207		110.155		120.680		139.084		146.283		148.126		179,60		825		2,03		1975		Nordrhein-Westfalen Nordrhein-Westfalen
56		Regensburg		90.651		117.291		123.751		130.888		132.604		121.691		125.676		135.520		145.465		80,70		1.803		2,23		1940		Bayern Bayern
57		Ingolstadt		31.370		40.523		52.540		70.594		90.490		105.489		115.722		125.088		132.438		133,37		993		1,10		1989		Bayern Bayern
58		Würzburg		101.345		78.443		115.541		116.395		128.652		127.777		127.966		133.799		124.873		87,63		1.425		0,53		1932		Bayern Bayern
59		Fürth1		78.838		99.890		98.615		94.415		99.088		103.362		110.477		114.628		124.171		63,35		1.960		2,18		1950		Bayern Bayern
60		Wolfsburg9		6.797		25.422		62.577		90.115		125.935		128.510		121.805		121.451		124.045		204,08		608		0,83		1972		Niedersachsen Niedersachsen
61		Offenbach a. M.		85.128		89.030		115.051		118.841		110.993		114.992		117.535		120.435		123.734		44,89		2.756		2,27		1954		Hessen Hessen
62		Ulm1		68.585		71.132		90.383		93.158		100.671		110.529		117.233		122.801		122.636		118,69		1.033		1,59		1980		Baden-Württemberg Baden-Württemberg
63		Heilbronn		74.214		64.643		87.203		102.300		111.938		115.843		119.305		122.879		122.567		99,88		1.227		2,27		1970		Baden-Württemberg Baden-Württemberg
64		Pforzheim		78.320		54.143		81.373		91.104		106.500		112.944		117.156		119.781		122.247		98,00		1.247		2,48		1975		Baden-Württemberg Baden-Württemberg
65		Göttingen		49.668		78.680		77.785		109.892		129.656		121.831		124.132		121.060		118.914		116,89		1.017		1,06		1964		Niedersachsen Niedersachsen
66		Bottrop		83.381		93.268		111.246		106.225		114.571		118.936		120.611		116.771		117.143		100,61		1.164		0,97		1953		Nordrhein-Westfalen Nordrhein-Westfalen
67		Trier1		81.808		75.526		85.210		103.598		95.536		97.835		99.410		105.260		114.914		117,13		981		5,94		1969		Rheinland-Pfalz Rheinland-Pfalz
68		Recklinghausen		86.302		104.791		130.405		125.369		119.418		125.060		124.785		118.365		114.330		66,43		1.721		0,16		1949		Nordrhein-Westfalen Nordrhein-Westfalen
69		Reutlingen		37.421		45.735		66.659		79.705		95.456		103.687		110.650		112.484		114.310		87,06		1.313		1,65		1988		Baden-Württemberg Baden-Württemberg
70		Bremer­haven1, 10		110.982		114.070		141.017		142.919		138.728		130.446		120.822		113.366		114.025		93,82		1.215		3,55		1939		Bremen Bremen
71		Koblenz		86.501		66.444		97.867		120.079		113.676		108.733		107.950		106.417		112.586		105,13		1.071		1,03		1962		Rheinland-Pfalz Rheinland-Pfalz
72		Bergisch Gladbach		23.286		32.681		41.409		50.228		101.472		104.037		105.693		105.723		111.366		83,09		1.340		1,52		1977		Nordrhein-Westfalen Nordrhein-Westfalen
73		Jena1		68.377		80.309		81.190		88.130		103.718		102.518		99.893		105.129		109.527		114,76		954		1,22		1975		Thüringen Thüringen
74		Remscheid1		103.912		103.276		125.912		136.822		129.082		123.155		119.287		110.563		109.499		74,52		1.469		0,45		1929		Nordrhein-Westfalen Nordrhein-Westfalen
75		Erlangen1		33.471		50.011		68.569		85.061		101.845		102.440		100.778		105.629		108.336		76,95		1.408		1,80		1974		Bayern Bayern
76		Moers1		29.646		34.832		45.908		53.410		99.923		104.595		107.062		105.506		104.529		67,68		1.544		1,56		1975		Nordrhein-Westfalen Nordrhein-Westfalen
77		Siegen1		37.622		38.787		48.210		57.563		112.320		109.174		108.476		103.424		102.355		114,69		892		2,02		1975		Nordrhein-Westfalen Nordrhein-Westfalen
78		Hildesheim1		68.679		72.292		94.352		93.373		102.619		105.291		103.909		102.794		101.667		92,18		1.103		1,69		1974		Niedersachsen Niedersachsen
79		Salzgitter1, 11		45.598
